row_id,drink,date_modified,id_drink,alcoholic,category,drink_thumb,glass,iba,video,ingredient_number,ingredient,measure
394,Orange Push-up,8/24/17 10:09,14586,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/mgf0y91503565781.jpg,Hurricane glass,NA,NA,3,Orange juice,4 oz
394,Orange Push-up,8/24/17 10:09,14586,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/mgf0y91503565781.jpg,Hurricane glass,NA,NA,4,Sour mix,1 splash
395,Orange Scented Hot Chocolate,2/20/17 15:05,12748,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/hdzwrh1487603131.jpg,Coffee mug,NA,NA,1,Milk,2 cups
395,Orange Scented Hot Chocolate,2/20/17 15:05,12748,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/hdzwrh1487603131.jpg,Coffee mug,NA,NA,2,Chocolate,4 oz chopped bittersweet or semi-sweet
395,Orange Scented Hot Chocolate,2/20/17 15:05,12748,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/hdzwrh1487603131.jpg,Coffee mug,NA,NA,3,Orange peel,3 2-inch strips
395,Orange Scented Hot Chocolate,2/20/17 15:05,12748,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/hdzwrh1487603131.jpg,Coffee mug,NA,NA,4,Espresso,1/2 tsp instant
395,Orange Scented Hot Chocolate,2/20/17 15:05,12748,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/hdzwrh1487603131.jpg,Coffee mug,NA,NA,5,Nutmeg,1/8 tsp ground
396,Orange Whip,2/3/16 15:52,16995,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/ttyrxr1454514759.jpg,Collins Glass,NA,NA,1,Orange juice,4 oz
396,Orange Whip,2/3/16 15:52,16995,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/ttyrxr1454514759.jpg,Collins Glass,NA,NA,2,Rum,1 oz
396,Orange Whip,2/3/16 15:52,16995,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/ttyrxr1454514759.jpg,Collins Glass,NA,NA,3,Vodka,1 oz
396,Orange Whip,2/3/16 15:52,16995,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/ttyrxr1454514759.jpg,Collins Glass,NA,NA,4,Cream,1 package
396,Orange Whip,2/3/16 15:52,16995,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/ttyrxr1454514759.jpg,Collins Glass,NA,NA,5,Ice,Over
397,Orangeade,9/2/15 5:22,12618,Non alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/ytsxxw1441167732.jpg,Highball glass,NA,NA,1,Lemon juice,5 cl
397,Orangeade,9/2/15 5:22,12618,Non alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/ytsxxw1441167732.jpg,Highball glass,NA,NA,2,Orange juice,15 cl
397,Orangeade,9/2/15 5:22,12618,Non alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/ytsxxw1441167732.jpg,Highball glass,NA,NA,3,Sugar syrup,2-3 cl
397,Orangeade,9/2/15 5:22,12618,Non alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/ytsxxw1441167732.jpg,Highball glass,NA,NA,4,Soda water,"
"
